Title,Location,Remote,Company,Salary,Rating,Summary
Data Science-Lead,"Bengaluru, Karnataka",,Wipro Limited,,3.8,"ML Engineer: Large scale Data Science Development Experience with recommendations experience with Spark, Tensorflow Experience nProficiency with Hive-QL and…"
Analyst,"Pune, Maharashtra",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
"Technology head Data science, data analytics background","Hyderabad, Telangana",,Truedge Software Solutions,,3.7,"Data science, data analytics background preferred.Technology head Data science, data analytics background – Hyderabad.Education background from IIT preferred."
Data Science expert,"Bengaluru, Karnataka",Remote work available,Segler Tech,,,"Looking for a Data Science exert with minimum 5+ years experience in the following:NLP, Text-to-speech, speech-to-text, chatbots, etc."
Lead Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,Leveraging data analysis tools and technologies.Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…
Data Scientist,"Chennai, Tamil Nadu",,Applied Materials Inc.,,3.9,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment."
Team Leader - Data Conversion,"Hyderabad, Telangana",,State Street,,3.5,Good knowledge data analysis and data conversion of new Clients to an in-house Middle Office system.Resolve issues and gaps in terms of data provided or…
Sr. Data Scientist,"Chennai, Tamil Nadu",,PayPal,,3.9,"Lead complex, multifunctional data science projects.Have a passion for working on big data and professional experience in data mining, statistical analysis,…"
Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,"Experience in at least one data visualization tool (Tableau, Qlikview).Bringing data to life and making it actionable and relevant to stakeholders through…"
Sr. Data Scientist,"Chennai, Tamil Nadu",,PayPal,,3.9,"Lead complex, multifunctional data science projects.Have a passion for working on big data and professional experience in data mining, statistical analysis,…"
Sr Clin Data Coordinator,"Bengaluru, Karnataka",,IQVIA,,3.8,"IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients."
Data Scientist Intern and Machine learning/AI,"Hyderabad, Telangana",,Sumicro Technologies private limited,"₹8,000 - ₹20,000 a month",,"Appreciation of data modelling, software architecture and data structures and.The Data Scientist is responsible for advising the business on the potential of…"
Data Science Internship,"Pune, Maharashtra",,KUKbit Software Lab,"₹15,000 a month",,Working on data science algorithms and AI concepts 2.Processing of unstructured/structured data.KUKbit Software Lab helps clients manage their cloud…
Data Science & Machine Learning Internship,"Noida, Uttar Pradesh",,Vidooly,"₹10,000 - ₹12,000 a month",3.5,Handle data set creation/ data collection 6.Handle data mining for structured and unstructured data 2.Must have a data structure and algorithm expertise Must…
Jr. Data Scientist,"Mumbai, Maharashtra",,i3Systems,"₹6,00,000 - ₹10,00,000 a year",,"Machine learning models or data processing techniques.Unstructured data in the form of images, text, documents etc.It is well-known among."
Online Python Trainer (Female candidates only),"Kolkata, West Bengal",,Whitehat Education Technology Pvt. Ltd.,"₹30,000 - ₹50,000 a month",,"You'll teach students aged 15-18 coding (algorithms, data structure).WhiteHat Jr* was created to solve the #1 gap in the global school system today."
Data Science Trainee,"Bengaluru, Karnataka",,3d-ip semiconductors,,,Candidates with prior data science experience or course will be given preference.The training will be for a period of 6 months.
Event Management Intern,"Kolkata, West Bengal",Remote work available,Kentron Insight Pvt Ltd,,,"Candidates from medical, life science and pharma background are preferred.Kentron Insight is a business analytics firm with a unique blend of data analytics…"
AD-Medical Safety,"Thane, Maharashtra",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
Data Science,"Bengaluru, Karnataka",,AdmyBrand,,,Extending company's data with third party sources of information when needed.Enhancing data collection procedures to include information that is relevant for…
Online Python Trainer (Female candidates only),"Pune, Maharashtra",,Whitehat Education Technology Pvt. Ltd.,"₹30,000 - ₹50,000 a month",,"You'll teach students aged 15-18 coding (algorithms, data structure).WhiteHat Jr* was created to solve the #1 gap in the global school system today."
Team Leader - Data Conversion,"Hyderabad, Telangana",,State Street,,3.5,Good knowledge data analysis and data conversion of new Clients to an in-house Middle Office system.Resolve issues and gaps in terms of data provided or…
Senior SQL Data Analyst,"Noida, Uttar Pradesh",,DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",,Querying historical high-frequency market data to identify price patterns.Hands-on experience with large scale data warehousing and analytics projects.
Data Scientist,"Bengaluru, Karnataka",,Applied Materials Inc.,,3.9,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment."
Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,"Experience in at least one data visualization tool (Tableau, Qlikview).Bringing data to life and making it actionable and relevant to stakeholders through…"
Machine Learning Engineer,"Hyderabad, Telangana",,QuEST Global Engineering,,3.3,"Study and transform data science prototypes.Understanding of data structures, data modeling and software architecture.Analysis of huge data set."
Data Analyst,"Bengaluru, Karnataka",Remote work available,Futurios Technologies,"₹1,98,000 - ₹4,14,000 a year",,"Providing technical expertise on data storage structures, data mining, and data cleansing.Commissioning and decommissioning of data sets."
Data Scientist,"Bengaluru, Karnataka",,Lincode Labs,"₹6,00,000 - ₹10,00,000 a year",,Job Title: AI and ML or Computer Vision.The purpose of hiring this person is for his Robust experience in the area of Software Development in Computer Vision…
The Image Processing and Machine learning Engineer,"Kolkata, West Bengal",Remote work available,Agnik,,,The selected person will analyze data and develop scalable systems.L Need either computer science or EE MS/PhD degree or equivalent experience.
Data Entry Operator/Computer Operator,"Tilak Nagar, Delhi, Delhi",,Canixa Life Sciences Pvt. Ltd.,"₹12,500 - ₹17,000 a month",,Maintains data entry requirements by following data program techniques and procedures.Prepares source data for computer entry by compiling and sorting…
Data Scientist,"Navi Mumbai, Maharashtra",,Finicity,,4.0,"As a Data Scientist, you will take lead on exploring and creating business value from data science operations in new business data domains, working with other…"
Data Scientist,"Navi Mumbai, Maharashtra",,Aptus Health,,3.5,"Transform business question into data requirements; collect and merge the data; analyse the data, link it to the business reality and present the results."
Research Scientist: Data Science,India,,Dasceq,,,We are expanding our team and looking for next generations data scientist with experience to lead high end AI Product Development.
Data Science Engineer,"Pune, Maharashtra",,Cognologix technologies,"₹5,00,000 - ₹15,00,000 a year",,"Define the variables and their inter-relationships and extract the data from our data repositories, leveraging infrastructure including Cloud computing…"
Datastore Specialist 2,"Noida, Uttar Pradesh",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
Engineering/ Data Science/ Product Intern,"Delhi, Delhi",,Lybrate,,4.3,Interns- Java/Android/iOS/Testing.Opportunity to work full time based on performance during internship period.
Data Science Engineer,"Bengaluru, Karnataka",,Involvio,,,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc.Extending company's data with third party sources of information when needed."
Junior Scientist - Entomology,"Bengaluru, Karnataka",,Gaiagen Technologies Pvt. Ltd.,"₹4,50,000 - ₹5,00,000 a year",,"Contributing to developing standard operating procedures, data collection tools, and databases for the entomological component of projects."
IT Projects Mgr,"Kochi, Kerala",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
Artificial Intelligence Lead,"Noida, Uttar Pradesh",,Center of Digital Excellence Private Limited,"₹20,000 - ₹40,000 a month",,"Should have exposure to data analytics, data science, tools related to data science.Good foundation in algorithms and data structures."
Data Scientist,"Bengaluru, Karnataka",,Applied Materials Inc.,,3.9,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment."
Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,"Experience in at least one data visualization tool (Tableau, Qlikview).Bringing data to life and making it actionable and relevant to stakeholders through…"
Online Python Trainer (Female candidates only),"Pune, Maharashtra",,Whitehat Education Technology Pvt. Ltd.,"₹30,000 - ₹50,000 a month",,"You'll teach students aged 15-18 coding (algorithms, data structure).WhiteHat Jr* was created to solve the #1 gap in the global school system today."
Sr. Data Scientist,"Chennai, Tamil Nadu",,PayPal,,3.9,"Lead complex, multifunctional data science projects.Have a passion for working on big data and professional experience in data mining, statistical analysis,…"
Sr. Analyst/Specialist-Scientific content writer-Materials s...,"Bengaluru, Karnataka",,Merck KGaA,,3.9,The Specialist/ Sr. Analyst–will support the digital marketing content initiatives for materials science portfolio of the life science business.
Machine Learning Engineer,"Coimbatore, Tamil Nadu",Remote work available,AIT,,3.6,"Study and transform data science prototypes.Understanding of data structures, data modeling and software architecture.Ability to work in a team."
Data Science Internship,"Mumbai, Maharashtra",,Vision Insight,"₹7,000 - ₹12,000 a month",,"Get the pain, time and effort out of your data engineering using our proprietary master data management system that uses artificial intelligence to sync data…"
Data Scientist in India,"New Delhi, Delhi",,KAIZEN Asset Management Services,,,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Consultant - Data Science,"Bengaluru, Karnataka",,Antuit,,3.8,"Ensure completeness, accuracy and quality of data received.Understanding of Retail/CPG data model is a plus.Understand the client’s business including nuances…"
Junior Data Science Team Member,India,,Imurgence,,,"Experience with common data science toolkits, such as R desirable.Analyse data to help in better descision making.Knowledge or experience of how APIs work."
Data Science Video/Voice Analytics Internship,"Delhi, Delhi",,CogniTensor Technology Private Limited,"₹2,000 a month",,"Working on various modeling algorithms, data mining tools, data analysis tools, and statistical packages 3.Statistics and information retrieval methods to real…"
e-Learning Content Developer,"Bengaluru, Karnataka",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
Graduate Engineer Trainee,"Mumbai, Maharashtra",,Johnson & Johnson Family of Companies,,4.2,"Plans, directs and coordinates the maintenance, process improvement, capacity expansion, cost reduction and up gradation projects by self-involvement or through…"
Data Scientist,India,,Agnik,,,AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation.Some Experience in Programming in C++/Java/Distributed…
Team Leader - Data Conversion,"Hyderabad, Telangana",,State Street,,3.5,Good knowledge data analysis and data conversion of new Clients to an in-house Middle Office system.Resolve issues and gaps in terms of data provided or…
Senior SQL Data Analyst,"Noida, Uttar Pradesh",,DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",,Querying historical high-frequency market data to identify price patterns.Hands-on experience with large scale data warehousing and analytics projects.
Sr. Data Scientist,"Chennai, Tamil Nadu",,PayPal,,3.9,"Lead complex, multifunctional data science projects.Have a passion for working on big data and professional experience in data mining, statistical analysis,…"
Data Scientist,"Chennai, Tamil Nadu",,Applied Materials Inc.,,3.9,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment."
Assistant Manager - Analytics,"Mumbai, Maharashtra",,Colgate-Palmolive,,4.3,"Experience with third-party data i.e., syndicated market data, Point of Sales, etc.Mine data through various technologies like BigQuery and SQL."
Lead Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,Leveraging data analysis tools and technologies.Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…
Machine Learning Engineer,"Hyderabad, Telangana",,QuEST Global Engineering,,3.3,"Study and transform data science prototypes.Understanding of data structures, data modeling and software architecture.Analysis of huge data set."
Data Analyst,"Bengaluru, Karnataka",Remote work available,Futurios Technologies,"₹1,98,000 - ₹4,14,000 a year",,"Providing technical expertise on data storage structures, data mining, and data cleansing.Commissioning and decommissioning of data sets."
Data Scientist,"Bengaluru, Karnataka",,Lincode Labs,"₹6,00,000 - ₹10,00,000 a year",,Job Title: AI and ML or Computer Vision.The purpose of hiring this person is for his Robust experience in the area of Software Development in Computer Vision…
The Image Processing and Machine learning Engineer,"Kolkata, West Bengal",Remote work available,Agnik,,,The selected person will analyze data and develop scalable systems.L Need either computer science or EE MS/PhD degree or equivalent experience.
Data Entry Operator/Computer Operator,"Tilak Nagar, Delhi, Delhi",,Canixa Life Sciences Pvt. Ltd.,"₹12,500 - ₹17,000 a month",,Maintains data entry requirements by following data program techniques and procedures.Prepares source data for computer entry by compiling and sorting…
Data Scientist,"Navi Mumbai, Maharashtra",,Finicity,,4.0,"As a Data Scientist, you will take lead on exploring and creating business value from data science operations in new business data domains, working with other…"
Data Scientist,"Navi Mumbai, Maharashtra",,Aptus Health,,3.5,"Transform business question into data requirements; collect and merge the data; analyse the data, link it to the business reality and present the results."
Research Scientist: Data Science,India,,Dasceq,,,We are expanding our team and looking for next generations data scientist with experience to lead high end AI Product Development.
Data Science Engineer,"Pune, Maharashtra",,Cognologix technologies,"₹5,00,000 - ₹15,00,000 a year",,"Define the variables and their inter-relationships and extract the data from our data repositories, leveraging infrastructure including Cloud computing…"
Datastore Specialist 2,"Noida, Uttar Pradesh",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
Team Leader - Data Conversion,"Hyderabad, Telangana",,State Street,,3.5,Good knowledge data analysis and data conversion of new Clients to an in-house Middle Office system.Resolve issues and gaps in terms of data provided or…
Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,"Experience in at least one data visualization tool (Tableau, Qlikview).Bringing data to life and making it actionable and relevant to stakeholders through…"
"Manager, Data Science","Pune, Maharashtra",,Aera Technology,,,Collaborate with other team members to build data-science products and services using.This role is an ideal opportunity for someone who enjoys working on new…
Creative Copywriter,"Bengaluru, Karnataka",Remote work available,Shortlyst.ai,"₹60,000 - ₹70,000 a month",,We aim to transform Human Capital from its current state of being instinct-driven to become data-driven by leveraging Big Data and Machine Learning technologies…
Data Science Engineer,"Mumbai, Maharashtra",,Mystro,,,Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…
Data Scientist,Andhra Pradesh,,TTEC,,3.5,Expert at data wrangling both structured and unstructured data.Mentor data engineers and architects on requirements.What you'll be doing.
Research Engineer - Data Analytics & Artificial Intelligence...,"Bengaluru, Karnataka",,Siemens AG,,4.0,"You will analyze large, complex data sets by developing advanced machine learning and deep learning pipelines based on business initiatives."
Jr.Data Scientist,"Hyderabad, Telangana",,Infogrex Technologies Private Limited,,,Â€¢Developing customised data models and algorithms to apply to data sets.Â€¢Working with cross-functional teams to assess data science use cases and Product…
Young Professional - Data Manager,"New Delhi, Delhi",,Ministry of Tribal affairs,"₹60,000 a month",,01 Years and above of relevant experience in Database management/data analysis in Government /Social/ Development sector.Upper age limit: 32 years.
Machine Learning Engineer,"Noida, Uttar Pradesh",Remote work available,Infiniticube Services Pvt Ltd,"₹75,000 - ₹2,00,000 a month",,"Work with data acquisition, ML infrastructure, computer vision and data serving team to propose solutions for new problems.Experience Required: 3 to 6 years*."
GIS Developers- Machine learning (Data Scientist),"Ahmedabad, Gujarat",,Infinium Solutionz,,3.7,"The candidate should have experience in image processing and large volume data handling.Algorithm Development, Image Processing, API, web development, data…"
Associate Analyst,"Noida, Uttar Pradesh",,CmaxInsight,,,Perform qualitative and quantitative data analysis.Ability to work on diverse technical domains (related to the field of life sciences).
Associate - Data Science,"Mumbai, Maharashtra",,TATA Capital,,4.1,? Publishing of Regular Portfolio Performance Deck and regular dashboards.? Automation of existing dashboards using SAS / Python / SQL / Tableau.
[Government] Baba Farid University of Health Science May-202...,India,,Baba Farid University of Health Science,"₹9,557 a month",,"Baba Farid University of Health Science.Invites applications for the below posts :Research Scientist (Medical) – 28 Posts, Pay : ₹ 65000/- per month."
Junior Data Analyst,India,,Dasceq,,,The role is cross functional with partial analytics / business analyst roles and partial involvement in data science.Tier1 or Tier 2 Institutes.
Data Scientist,"Hyderabad, Telangana",,Pactera Technologies India Private Limited,,,Work closely with business to identify issues and use data to propose solutions for effective decision making.Proven experience in Statistics or NLP.
Modelling Analyst,"New Delhi, Delhi",,PPD,,3.5,Assist with literature reviews in scientific literature databases with emphasis on extracting data pertinent to health economic evaluations and cost…
Python/Data Analysis-Job Code(PYDAT-14),"Kochi, Kerala",,Calpine Group,,,Experience with Python to implement data analysis workflows in a Linux environment.Looking for candidates with 4-6 years of experience working in Python…
Sr Data Engineering Analyst,India,,UnitedHealth Group,,3.7,Responsible to support process improvements to continuously improve the stability and performance of the applications.3+yrs-Unix Shell Scripting experience.
Marketing Analytics- Data Science Manager,"Bengaluru, Karnataka",,Philips,,4.0,Proficiency with R and/or Python libraries commonly used in data science.High affinity with AI powered insight tools and engines and application of data…
Zonal Sales Manager,"Bihar Sharif, Bihar",Remote work available,prasang food product,"₹40,000 - ₹45,000 a month",,Validate feedback and data which is collected by regional sales manager from his team.He is well known personality in industry and have excellent knowledge of…
Research Analyst I,"Gurgaon, Haryana",,Evidera,,,Our research and consulting services are driven by world-class science and thought leadership and leverage a unique combination of capabilities in health…
